"","nonViolent","Violent","medInc","pUnPov","notHSG","unem","meanFam","tPar","unmarry","foren","raceM","buget","age1","age2","age3","age4","divo","nevMa","dens","pubTran","workM","af","ca","as","hi","medRent","largeHH","urban","sq","logunem","logunmarry","logmedInc","logforen","logden","logaf","loghi","logmedRent","loglargeHH","logurban","logpubTran","crpubTran","ctPar","cnotHSG"
"189",1958,99,23563,19.32,27.31,6.1,3.12,62.76,9.62,3.74,27,20,18.84,38.6,23.62,9.63,10.78,45.21,4690.3,5.57,62.4,39.05,56.74,2.61,2.91,361,6.13,100,9.9498743710662,1.80828877117927,2.26384426467762,10.0674329641244,1.31908561142644,8.45325182527946,3.66484287628569,1.0681530811834,5.88887795833288,1.81319474994812,4.60616968632117,1.71739505393919,1.77263123819806,247200.192576,20368.783891
"190",2063,774,19193,24.82,30.7,9.24,3.16,52.09,9.04,1.2,43,116,13.93,27.56,13.43,13.17,13.53,35.68,1728.9,3.56,71.55,63.27,35.96,0.56,0.39,225,6.35,99.45,27.8208554864871,2.22354188565359,2.20165917440409,9.86230090820588,0.182321556793955,7.45524064711073,4.14741128315879,-0.941608539858445,5.41610040220442,1.8484548129046,4.60066003051021,1.26976054486394,1.52692134429846,141339.344329,28934.443
"191",1996,564,28704,17.07,38.91,10.62,3.28,53.59,12.01,14.63,170,127,14.06,29.69,14.3,12.13,10.69,41.25,8545.4,6.39,65.86,26.6,58.54,2.32,26.5,496,8.46,100,23.7486841740758,2.36273901581379,2.48573963609189,10.2647917648585,2.68307421503203,9.05314840545468,3.28091121578765,3.27714473299218,6.20657592672493,2.13534917361813,4.60616968632117,1.85473426838944,1.85566803168917,153904.483279,58909.276971
"192",1351,1393,27770,12.73,26.84,7.8,3.15,68.34,4.12,5.01,238,14,14.34,27.95,13.49,11.95,10.4,31.4,3599.2,1.99,70.24,6.39,89.78,0.56,5.89,338,5.38,100,37.322915213043,2.05412373369555,1.41585316336144,10.2317115803008,1.61143591509677,8.18846687752696,1.85473426838944,1.7732559976635,5.82304589548302,1.68268837417369,4.60616968632117,0.688134638736401,1.25781767194355,319172.101704,19335.149504
"193",1407,1724,33667,12.68,20.9,4.6,3.04,69.29,3.72,22.53,216,103,11.83,28.99,14.97,13.5,11.21,40.82,4371.2,3.95,68.78,2.24,77.75,2.33,31.46,670,9.23,100,41.5210789840534,1.52605630349505,1.31372366828506,10.4242734080964,3.11484775444415,8.38279284993642,0.806475865866949,3.44871689763013,6.50727771238501,2.22245904851476,4.60616968632117,1.37371557891303,1.58075912888041,332668.503089,9129.329
"194",2061,1805,15315,33.31,42.8,9.64,3.07,38.93,12.16,1.69,11,166,13.34,27.23,13.67,16.73,16.46,38.29,2191.6,4,61.23,55.99,43.04,0.61,0.75,217,6.57,100,42.485291572496,2.26592110862245,2.49815187653802,9.63658801926688,0.524728528934982,7.69238714966426,4.0251731033608,-0.287682072451781,5.37989735354046,1.88251383249652,4.60616968632117,1.38629436111989,1.5874010519682,59000.162957,78402.752
"195",950,923,49777,4.14,16.83,4.03,3.11,84.59,1.16,15.97,161,157,10.33,22.36,10.39,16.38,5.23,30.23,3115.4,7.75,65.83,5.73,87.64,5.58,4.42,619,4.72,100,30.3809150619266,1.39376637595859,0.148420005118273,10.8153083089388,2.77071196222692,8.04411283389251,1.74571553072665,1.48613969608961,6.4281052726846,1.55180879959746,4.60616968632117,2.04769284336526,1.9789458048402,605281.046579,4767.078987
"196",893,1286,45598,8.61,6.82,4.8,2.9,77.06,1.85,21.39,204,22,10.45,28.82,13.43,12.82,6.61,43.62,7778.6,28.71,71.24,3.1,87.43,8.38,2.92,629,3.99,100,35.8608421540822,1.56861591791385,0.615185639090233,10.7276191348915,3.06292352309431,8.95913165239363,1.1314021114911,1.07158361628019,6.44413125670044,1.38379123090177,4.60616968632117,3.35724549413297,3.06204144182375,457601.051816,317.214568
"197",2100,378,25751,16.42,33.43,6.16,3.07,61.62,5.45,2.98,68,192,15.09,26.32,13.42,15.36,12.66,28.54,1653.5,0.49,73.03,29.48,68.08,0.6,3.41,263,5.17,0,19.4422220952236,1.81807677754543,1.69561560867515,10.1562287402893,1.09192330051731,7.41064953242185,3.38371206732114,1.22671229129543,5.57215403217776,1.64287268852034,-2.30258509299405,-0.713349887877465,0.788373516310524,233972.643528,37360.194607
"198",1900,1423,26344,11.53,22.88,6.15,3.08,65.08,5.04,2.21,305,232,14.06,28.56,13.77,11.72,11.88,32.26,2666.3,2.15,76.39,16.75,80.45,1.01,2.7,312,5.26,100,37.72267222772,1.81645208181843,1.61740608208328,10.1789958240562,0.792992515529661,7.88844702253987,2.81839825827108,0.993251773010283,5.74300318780948,1.66013102674962,4.60616968632117,0.765467842139571,1.29066288067403,275640.248512,11977.551872
"199",1893,154,19807,21.86,32.97,11.23,3.08,60.64,5.23,2.24,296,326,13.69,26.01,12.77,14.41,13.04,30.78,4017,2.45,59.38,18.21,80.67,0.32,1.06,233,5.45,100,12.4096736459909,2.41858876875035,1.65441127807683,9.89379068955726,0.806475865866949,8.29829063435928,2.90197089373952,0.0582689081239758,5.4510384535657,1.69561560867515,4.60616968632117,0.896088024556636,1.34809974988793,222985.990144,35839.079073
"200",1861,140,30389,14.25,22.51,6.98,3.37,73.47,4.13,7.7,163,216,15.36,29.06,13.59,6.06,10.51,29.4,4596.3,2.15,67.15,18.08,77.42,1.69,10.05,347,6.74,100,11.8321595661992,1.94304891677428,1.41827740697294,10.3218359798084,2.04122032885964,8.43300691098982,2.89480635496403,2.30757263450508,5.84932477994686,1.90805992492422,4.60616968632117,0.765467842139571,1.29066288067403,396579.370923,11405.819251
"201",1708,636,29407,18.96,5.08,5.05,2.8,71.57,1.83,8.1,248,5,21.85,41.56,27.91,6.67,8.48,54.51,3565.8,5.62,71.93,1.26,92.53,3.85,4.83,480,2.25,100,25.219040425837,1.61938824328727,0.60431596685333,10.2889880202247,2.09186406167839,8.17914371160067,0.231111720963387,1.57484646766448,6.17378610390194,0.810930216216329,4.60616968632117,1.7263316639056,1.77791954887917,366600.498893,131.096512
"202",1537,1,37274,7.83,17.45,4.9,3.26,77.86,2.5,8.84,146,241,14.48,28.71,12.75,5.12,10.17,25.8,3040.6,2.11,74.68,8.87,79.67,4.47,11.63,411,5.95,100,1,1.58923520511658,0.916290731874155,10.5260513116406,2.17928687664955,8.01981014334674,2.18267479632149,2.45358796653057,6.01859321449623,1.78339121955754,4.60616968632117,0.746687947487975,1.28260861238441,472001.303656,5313.568625
"203",1620,1436,18276,23.18,27.58,10.76,2.89,66.78,2.5,1.22,242,218,17.19,28.54,17.51,17.59,10.92,32.48,3553,1.64,61.67,6.75,92.52,0.46,0.54,235,2.79,100,37.8945906429928,2.37583555473364,0.916290731874155,9.81334400268316,0.198850858745165,8.17554759602103,1.90954250488444,-0.616186139423817,5.45958551414416,1.02604159583327,4.60616968632117,0.494696241836107,1.17927370799407,297809.977752,20978.903512
"204",1380,11,33453,10.07,18.79,6.82,3.12,75.19,3.48,15.65,233,66,12.55,28.56,13.63,13.1,9.41,26.16,3047.5,4.03,66.18,7.89,74.72,6.09,22.57,599,7.88,100,3.3166247903554,1.91985947185537,1.24703229378638,10.4178967476335,2.75047091698616,8.02207686135543,2.06559613485778,3.11662159082944,6.39526159811545,2.06432790386979,4.60616968632117,1.39376637595859,1.59135967447455,425089.379359,6634.074439
"205",1667,114,33686,13.38,17.74,5.72,3.23,70.7,4.5,20.9,235,131,15.18,32.67,17.07,9.3,10.46,41.26,3308.5,4.41,62.71,9.39,67.12,11.79,20.67,560,9.09,99.95,10.6770782520313,1.74396880539171,1.50407739677627,10.4248375997583,3.03974915897077,8.10425019345211,2.23964529322017,3.02868337369368,6.32793678372919,2.20717490818939,4.60567006102974,1.48387468945875,1.63988299780007,353393.243,5582.912824
"206",2052,1593,23584,22.64,30.87,8.92,3.41,68.55,3.48,9.35,2,303,15.89,30.35,14.98,9.5,11.52,31.66,2712.7,5,63.45,7.04,72.24,1.14,55.59,308,9.73,100,39.9124040869502,2.18829594659192,1.24703229378638,10.0683237949891,2.2353763433006,7.90569972784949,1.95160817016995,4.01800332896538,5.73009978297357,2.27521389619791,4.60616968632117,1.6094379124341,1.7099759466767,322123.476375,29417.779503
"207",1907,1,26301,21.62,33.95,11.32,3.46,54.35,12.08,16.85,58,212,14.32,29.66,14.38,10.76,11.03,43.87,11945.9,29.94,62.07,39.07,45.39,3.74,19.61,377,12.29,100,1,2.42657107277504,2.49155119250667,10.1773622402567,2.82435065679837,9.38814340225437,3.66535490906698,2.97603964020825,5.93224518744801,2.50878592357794,4.60616968632117,3.39919537899148,3.10515963508785,160545.687875,39130.854875
"208",1636,1400,35237,8.3,14.3,4.62,2.98,70.93,2.04,9.79,17,55,12.69,24.79,12.06,14.57,11.28,29.88,3245.3,2.34,70.3,1.79,89.37,3.36,9.47,579,4.73,100,37.4165738677394,1.53039470509365,0.712949807856125,10.4698519458928,2.28136145654242,8.08496307478792,0.582215619852664,2.24812890719799,6.361302477573,1.55392520250384,4.60616968632117,0.85015092936961,1.32761439426177,356853.433357,2924.207
"209",1810,801,19391,25.56,42.26,14.24,3.42,48.49,9.84,11.56,318,42,16.81,28.88,13.91,12.35,11.75,40.32,2731.5,4.07,53.43,33.57,38.01,0.23,47.79,208,10.43,100,28.3019433961698,2.65605490598383,2.28645571106416,9.87256431988262,2.44755086324423,7.91260618783577,3.51363281099194,3.86681641259007,5.33753807970132,2.34468626901268,4.60616968632117,1.4036429994545,1.59660739481149,114013.572049,75472.455176
"210",786,1175,34158,8.43,15.38,3.93,2.36,66.61,1.95,4.93,302,242,5.87,10.71,5.42,39.16,6.83,12.06,736.1,0,65.15,5.87,93.39,0.36,1.59,364,1.72,100,34.2782730020052,1.36863942588117,0.667829372575655,10.4387520981791,1.5953389880546,6.60136597906466,1.76985463384001,0.46373401623214,5.89715386763674,0.542324290825362,4.60616968632117,-Inf,0,295541.382781,3638.052872
"211",2067,435,23551,20.89,31.91,6.43,2.97,45.21,13.21,1.83,37,134,13.35,29.11,15.34,13.66,14.48,42.45,3259.7,12.86,70.49,55.22,43.35,0.88,0.93,333,5.14,100,20.8566536146142,1.86097453824953,2.58097411853423,10.0669235613881,0.60431596685333,8.08939044558636,4.01132520650201,-0.0725706928348354,5.80814248998044,1.63705307946707,4.60616968632117,2.55412171880947,2.34286351659692,92406.712761,32492.296871
"212",1425,1168,42665,3.89,25.17,4.56,3.06,82.26,1.46,14.78,181,186,12.05,23.08,11.96,19.36,5.54,30.2,5298.9,5.66,69.45,9.38,86.51,3.35,4.48,549,3.9,100,34.1760149812701,1.51732262352629,0.378436435720245,10.6611341909707,2.69327491552006,8.57525453082951,2.23857976301813,1.49962304642689,6.30809844150953,1.3609765531356,4.60616968632117,1.73342389221509,1.78212765818347,556629.367176,15945.922413
"213",1658,1819,21242,22.7,28.84,8.17,3.08,51.68,10.32,6.45,104,168,17.47,33.6,19.56,12.86,10.68,47.42,6300.5,10.98,64.81,20.33,74.98,2.17,2.89,347,6.23,100,42.6497362242722,2.10046890887191,2.33408376005342,9.96373563288149,1.86408013080768,8.74838427430975,3.01209762764026,1.06125650212434,5.84932477994686,1.82937633279936,4.60616968632117,2.39607543608138,2.22263140613269,138028.101632,23987.543104
"214",1493,50,26669,17.02,44.38,10.94,3.6,60.31,11.94,36.18,84,80,15.22,30.48,15.53,9.37,8.94,39.71,18056.6,12.48,71.62,20.6,45.32,7.05,50.01,443,14.27,100,7.07106781186548,2.39242579699384,2.47989410796446,10.19125712116,3.58850647996715,9.80126654789653,3.02529107579554,3.91222298543081,6.09356977004514,2.65815943148875,4.60616968632117,2.52412736294128,2.3195559990596,219365.327791,87410.155672
"215",1725,1387,41675,6.69,11.93,4.58,3.1,74.16,1.61,14.13,178,3,12.92,27.42,12.7,8.56,10.82,31.29,3646.5,10.08,71.37,2.36,84.03,8.68,11.46,618,5.13,100,37.2424488990721,1.52169899812609,0.476234178996372,10.637656707619,2.64830019669644,8.20152308242429,0.858661619037519,2.43886271128659,6.42648845745769,1.63510565918268,4.60616968632117,2.31055326264322,2.16016459651058,407858.167296,1697.936057
"216",92,709,22140,27.51,40.56,10.73,3.29,35.63,20.8,15.34,32,181,17.16,34.04,18.02,8.78,12.64,52.37,7794.8,17.32,56.43,38.89,39.98,1.45,31.59,443,9.35,100,26.6270539113887,2.37304355664261,3.03495298670727,10.0051412062626,2.73046379593911,8.96121212368998,3.66073714816766,3.45284061481399,6.09356977004514,2.2353763433006,4.60616968632117,2.85186190313429,2.58731493771615,45232.174547,66725.807616
"217",1719,527,33214,7.43,9.7,4.71,3.07,71.18,3.14,5.64,172,36,12.94,28.19,12.27,6.26,12.6,28.91,1617.6,4.03,76.09,11.43,82.41,3.77,6.65,393,3.78,99.77,22.956480566498,1.54968790802833,1.14422279992016,10.4107267527667,1.72988406550997,7.38869884826621,2.43624147780672,1.89461685466776,5.97380961186926,1.3297240096315,4.60386934025504,1.39376637595859,1.59135967447455,360640.047032,912.673
"218",1942,1442,30533,12.09,33.18,7.77,3.1,64.25,6.61,8.68,307,176,12.46,27.7,12.94,14.74,9.79,34.44,3682.4,3.18,66.16,12.97,79.55,0.72,13.38,404,5.13,100,37.973675092095,2.05027016437956,1.88858365386359,10.326563344904,2.16102152867226,8.21131999250303,2.56263899832835,2.59376105470008,6.00141487796115,1.63510565918268,4.60616968632117,1.15688119679209,1.47053615501837,265228.015625,36528.273432
"219",2084,540,25333,16.79,20.74,7.19,3.08,64.05,3.78,7.71,132,120,13.46,27.65,13.44,11.9,13.81,32.4,3549.2,3.88,64.39,11.38,78.14,6.91,3.78,350,6.22,100,23.2379000772445,1.97269117173296,1.3297240096315,10.1398631726191,2.04251818757524,8.17447750496118,2.43185742869818,1.3297240096315,5.85793315448346,1.82776990675109,4.60616968632117,1.35583515363518,1.5713656015696,262758.880125,8921.261224
"220",819,325,50075,3.46,15.51,4.46,3.17,85.86,0.77,17.8,92,16,11.41,26.53,11.97,9.78,6.19,30.12,2836.3,10.02,66.79,5.56,79.49,13.72,4.33,642,4.39,100,18.0277563773199,1.49514876603197,-0.261364764134408,10.821277160534,2.87919845729804,7.95025566485008,1.71559810826249,1.4655675420144,6.46458830368996,1.47932922708708,4.60616968632117,2.30458309565672,2.15587002336121,632954.734056,3731.087151
"221",1675,81,36058,9.67,23.75,6.11,3.25,69.48,3.74,21.15,96,98,13,28.98,13.67,9.72,11.27,33.82,2476.9,8,67.09,9.83,61.8,15.55,23.92,629,8.54,99.93,9,1.8099267731835,1.31908561142644,10.4928840321021,3.05163990549229,7.81476305725737,2.28543893415908,3.17471492908243,6.44413125670044,2.14476100780048,4.60547014099709,2.07944154167984,2,335412.643392,13396.484375
"222",1692,73,27606,14.71,31.55,6.99,3.05,53.33,10.11,9.98,19,283,11.97,27.31,12.99,13.74,10.25,42,5410.8,7.52,67.51,31.47,65.38,1.52,3.77,459,5.96,100,8.54400374531753,1.94448055624572,2.31352503303238,10.2257884193835,2.30058309032337,8.59615223521504,3.44903471107632,1.32707500145992,6.12905021006055,1.78507048107726,4.60616968632117,2.01756613796175,1.95917221743112,151675.261037,31404.948875
"223",705,1251,38514,6.51,21.02,6.05,3.08,75.53,2.06,15.13,269,89,17.73,36.43,21.69,11.54,7,49.06,4399.8,5.88,72.67,3.07,91.37,3.55,5.6,633,5.25,100,35.3694783676548,1.80005827204275,0.72270598280149,10.5587770905398,2.71667952780026,8.38931436432781,1.12167756159911,1.7227665977411,6.45047042214418,1.65822807660353,4.60616968632117,1.77155676191054,1.80492478514502,430882.101377,9287.485208
"224",2082,180,24495,21.15,24.84,7.84,3.16,64.9,5.03,3.23,24,333,14.36,26.61,13.08,12.31,12.36,29.63,1378.4,1.4,68.15,41.26,54.97,1.67,4.3,275,6.57,100,13.4164078649987,2.05923883436232,1.61541998411165,10.1062242940727,1.17248213723457,7.22867868521372,3.71989350764311,1.45861502269952,5.61677109766657,1.88251383249652,4.60616968632117,0.336472236621213,1.1186889420814,273359.449,15326.915904
"225",1111,1113,36584,5.41,26.18,5.28,2.97,70.28,3.26,10.74,224,113,11.29,26.95,12.57,14.21,10.65,33.66,2702.4,5.95,75.01,8.39,86.8,2.22,5.96,511,3.21,100,33.3616546352246,1.66392609771817,1.18172719537862,10.5073662653379,2.37397508908072,7.90189554605354,2.12704052047911,1.78507048107726,6.2363695902037,1.16627093714192,4.60616968632117,1.78339121955754,1.81205894936276,347132.485952,17943.573032
"226",1837,1939,23627,22.22,28.5,8.88,3.21,52.28,12.11,4.72,90,158,14.66,29.77,14.74,11.04,11.53,41.21,6317.6,11.14,65.79,30.45,63.37,1.88,6.27,342,7.89,100,44.034077712608,2.18380155700408,2.494031557565,10.0701454048635,1.55180879959746,8.75109466818337,3.41608599415591,1.83577635464483,5.8348107370626,2.06559613485778,4.60616968632117,2.41054223449914,2.23337541070695,142891.612352,23149.125
"227",806,1299,51231,4.25,13.4,4.19,3.24,80.74,1.86,20.06,165,50,12.66,27.74,12.06,6.11,9.16,29.99,2172.1,4.68,70.33,3.79,70.6,19.42,13.32,732,6.14,100,36.0416425818802,1.43270073393405,0.62057648772511,10.8441000965553,2.99872778253379,7.68344972050965,1.33236601909433,2.58926666511224,6.59578051396131,1.81482474215905,4.60616968632117,1.54329810992956,1.67268932147384,526339.829224,2406.104
"228",1853,625,25719,18.05,41.82,10.86,3.41,47.36,14.64,7.55,10,146,13.92,28.69,14,11.57,13.46,44.91,11185.6,10.27,71.82,49.27,42.17,0.66,14.13,387,11.32,100,25,2.38508631450579,2.68375750853317,10.1549852973469,2.02154756326093,9.32238251575772,3.89731537655587,2.64830019669644,5.95842469302978,2.42657107277504,4.60616968632117,2.32922702394047,2.17365266446669,106227.040256,73139.516568
"229",2059,943,30727,16.87,26.85,7.03,3.15,41.96,18.2,9.7,287,215,13.54,29.83,15.69,11.53,13.67,50.76,9538.9,37.3,72.92,65.84,29.6,1.85,5.39,441,8.96,100,30.7083050655682,1.95018670582257,2.90142159408275,10.3328970258878,2.27212588550934,9.16313345381109,4.18722755636881,1.68454538492091,6.08904487544685,2.19277022698684,4.60616968632117,3.61899332664977,3.34120362514931,73876.521536,19356.769125
"230",833,1218,42894,6.16,14.73,4.25,2.98,76.33,2.51,23.99,150,38,10.15,24.24,10.96,14.48,10.48,33.16,6758.9,6.79,73.35,3.58,78.57,13.31,15.48,738,5.48,100,34.8998567332303,1.44691898293633,0.920282753143692,10.6664872349949,3.1776370768516,8.81861543390288,1.27536280041261,2.73954886816158,6.60394382460047,1.70110510095992,4.60616968632117,1.9154509415706,1.89360732440701,444719.105137,3196.010817
"231",69,440,29737,17.54,9.68,5.62,2.84,61.32,5.52,16.82,270,112,18.67,36.55,23.96,9.53,10.08,56.11,9483.4,16.28,70.54,18.77,62.14,14.78,8.36,392,4.16,100,20.976176963403,1.7263316639056,1.708377860289,10.3001473406826,2.8225686545448,9.15729818073864,2.93225985059842,2.12345842709661,5.97126183979046,1.42551507427317,4.60616968632117,2.78993736057439,2.53445625810397,230571.931968,907.039232
"232",127,1157,22275,27.29,30.13,9.13,3.18,40.37,15.55,3.39,6,204,14.88,30.26,15.75,9.99,15.05,47.78,2886,20.4,63.98,67.07,31.05,0.89,1.91,342,7.82,100,34.0147027033899,2.21156569460688,2.74406063862524,10.011220252339,1.22082992139236,7.96762673933382,4.20573685011165,0.647103242058538,5.8348107370626,2.05668455455722,4.60616968632117,3.01553490085017,2.73239441609447,65792.478653,27352.523197
"233",1780,111,35788,13.56,31.47,7.32,3.66,73.79,5.3,22.77,52,7,15.86,31.88,15.35,5.84,9.68,33.31,3498.5,0.91,62.38,7.3,64.62,3.89,41.7,562,14.6,100,10.5356537528527,1.99061032797322,1.66770682055808,10.4853679206675,3.12544388007565,8.16008958418595,1.98787434815435,3.73050112880476,6.33150184989369,2.68102152871429,4.60616968632117,-0.0943106794712413,0.96905210834335,401783.900939,31166.657523
"234",720,1862,34344,7.55,22.12,7.65,3.11,72.56,3.43,13.58,209,263,10.98,28.76,13.19,13.53,7.34,38.7,10219.2,24.37,67.69,4.18,89.39,5.22,2.63,575,5.15,100,43.1508980207828,2.03470564783844,1.23256026117785,10.4441826099044,2.60859812213055,9.23202358280732,1.43031124653666,0.966983846189673,6.35437004079735,1.63899671467564,4.60616968632117,3.19335286763712,2.89924673261772,382025.033216,10823.192128
"235",1699,110,26473,10.65,19.78,4.8,2.75,65.94,3.03,8.18,283,109,10.59,21.32,10.25,22.03,12.57,25.6,3833,1.55,72.2,8.97,89.13,1.03,2.92,396,2.71,100,10.4880884817015,1.56861591791385,1.10856261952128,10.183880624651,2.10169215061466,8.25140306538056,2.1938856760707,1.07158361628019,5.98141421125448,0.99694863489161,4.60616968632117,0.438254930931155,1.15729452726294,286712.632584,7738.893352
"236",851,1,46470,3.55,19.34,5.05,3.34,85.89,0.79,9.89,302,37,15.72,28.58,14.45,8.5,5.96,29.66,3103.2,0.45,66.15,0.4,96.3,2.86,1.12,478,5.05,100,1,1.61938824328727,-0.23572233352107,10.746562222079,2.29152414563462,8.04018911612576,-0.916290731874155,0.113328685307003,6.16961073249146,1.61938824328727,4.60616968632117,-0.798507696217772,0.766309432393553,633618.440469,7233.848504
"237",1962,1001,25236,14.5,18.46,6.4,2.99,69,3.02,5.59,210,293,13.25,26.88,13.29,12.82,14.36,31.68,2504.8,2.57,70.4,1.51,91.18,2.39,6.11,325,4.87,100,31.6385840391128,1.85629799036563,1.10525683138678,10.1360268254907,1.72097928716701,7.8259641700122,0.412109650826833,1.8099267731835,5.78382518232974,1.5830939370945,4.60616968632117,0.943905898907128,1.36975966800264,328509,6290.643736
"238",1701,1,22279,20.48,27.15,9.01,3.05,59.54,6.73,3.05,230,15,14.58,28.52,14.77,13.32,12.24,35.1,3461.4,3.24,61.23,24.51,73.76,1.21,0.72,281,4.84,100,1,2.19833507162025,1.90657514365664,10.0113998097305,1.11514159061932,8.1494284104909,3.19908119754002,-0.328504066972036,5.63835466933375,1.57691472072854,4.60616968632117,1.17557332980424,1.47972724459828,211069.990664,20012.875875
"239",561,1309,31954,8.79,29.95,5.88,3.06,72.52,2.44,12.03,254,149,11.34,24.3,11.4,17.37,7.64,34.54,10545.1,17.23,64.52,4.71,90.44,1.84,9.5,413,4.31,100,36.1801050302511,1.77155676191054,0.89199803930511,10.3720526475875,2.48740352998659,9.26341657603529,1.54968790802833,2.2512917986065,6.02344759296103,1.46093790411566,4.60616968632117,2.84665205053984,2.58282566044289,381393.587008,26865.224875
"240",1835,507,28553,15.91,26.81,9.34,3.21,61.08,6.26,13.83,244,46,12.56,26.65,12.69,13.46,10.18,37.77,7251.7,8.92,63.55,8.06,83.06,3.7,9.15,507,6.97,100,22.5166604983954,2.23430625224075,1.83418018511201,10.2595172883729,2.62684014567667,8.88899120312056,2.08691355651854,2.21375387928743,6.22851100359118,1.94161522477243,4.60616968632117,2.18829594659192,2.07390225963995,227875.211712,19270.387241
"241",967,1165,45516,3.04,22.57,4.85,3.14,82.95,1.14,12.22,179,268,10.81,25.74,11.46,12.38,7.81,32.69,3898.9,6.92,68.83,6.46,86.61,5.47,5.56,633,4.47,100,34.132096331752,1.57897870494939,0.131028262406404,10.7258191914769,2.50307395374345,8.26844974105174,1.86562931779451,1.71559810826249,6.45047042214418,1.49738840862548,4.60616968632117,1.93441576962958,1.90561588690916,570754.272375,11497.268593
"242",664,1949,42948,5.96,13.9,6.42,3.03,76.83,3,11.7,75,255,12.89,29.89,14.92,10.57,7.99,36.48,2497.3,2.81,74.38,3.7,90.11,2.93,8.14,626,3.6,100,44.1474801092882,1.85941811770187,1.09861228866811,10.667745360554,2.45958884180371,7.82296542723605,1.30833281965018,2.09679018001445,6.4393503711001,1.28093384546206,4.60616968632117,1.03318448334565,1.41113568110281,453515.880987,2685.619
"243",1993,1750,24346,19.36,30.51,7.55,3.25,73.96,2.69,7.55,203,299,14.89,27.4,12.88,9.26,11.6,23.09,2448.1,0.02,61.43,5.97,75.39,0.68,31.13,241,6.67,100,41.8330013267038,2.02154756326093,0.989541193613748,10.1001228439695,2.02154756326093,7.80306749247109,1.78674692740451,3.43817198445352,5.48479693349065,1.89761985992753,4.60616968632117,-3.91202300542815,0.271441761659491,404567.235136,28400.541651
"244",1224,1282,46539,7.99,18.34,4.57,3.26,76.93,2.43,20.13,225,101,14.63,30.19,15.4,7.74,9,35.66,4577.2,2.59,69.3,1.4,82.99,7.9,22.84,706,9.01,100,35.8050275799363,1.51951320490611,0.887891257352457,10.7480459497324,3.0022112396517,8.42884273644356,0.336472236621213,3.12851338478781,6.55961523749324,2.19833507162025,4.60616968632117,0.951657875711446,1.37330369328893,455289.041557,6168.761704
"245",1612,1269,28687,9.25,19.12,3.41,3.12,72.8,1.52,2.44,292,278,14.7,27.81,13.51,10,11.67,28.15,3024.3,2.52,66.62,0.33,96.88,1.2,2.16,368,4.86,100,35.6230262611138,1.22671229129543,0.418710334858185,10.2641993374571,0.89199803930511,8.01443493872801,-1.10866262452161,0.770108221696074,5.90808293816893,1.5810384379124,4.60616968632117,0.924258901523332,1.36081842319067,385828.352,6989.782528
"246",684,1722,38859,6.93,21,5.8,3.11,78.76,1.71,11.8,314,33,13.31,29.49,15.44,15.05,5.24,39.8,6809.5,16.88,68.3,4.07,93.41,2.01,1.72,579,4.85,100,41.4969878424929,1.75785791755237,0.536493370514568,10.5676949891984,2.46809953147162,8.82607397500901,1.4036429994545,0.542324290825362,6.361302477573,1.57897870494939,4.60616968632117,2.82612948916781,2.56521722476882,488559.117376,9261
"247",1948,1,34909,10.78,24.11,6.24,3.15,79.61,0.77,16.46,2,304,11.76,24.19,11.17,16.49,8,30.29,3536.9,1.59,52.04,0.55,97.55,0.94,2.78,388,6.68,100,1,1.83098018238134,-0.261364764134408,10.4604999546014,2.80093319524892,8.17100591625845,-0.59783700075562,1.02245092770255,5.96100533962327,1.89911798754855,4.60616968632117,0.46373401623214,1.16716531971671,504548.444681,14014.952531
"248",1985,469,28513,12.81,23.13,5.2,3.1,69.79,4.35,3.46,215,123,13.82,28.77,13.88,9.76,12.64,29.38,839.4,2.65,69.91,24.35,72.75,1.92,2.58,355,4.63,98.8,21.6564078277077,1.64865862558738,1.47017584510059,10.2581154026072,1.24126858906963,6.73268735089949,3.1925318495286,0.947789398933526,5.87211778947542,1.53255686809814,4.59410923862867,0.974559639998131,1.38382750364446,339922.251739,12374.478297
"249",1682,602,29054,18.88,34.32,10.83,3.41,55.58,11.07,24.65,13,201,13.95,30.31,14.41,10.02,9.31,45.06,14826.6,37.29,60.72,29.69,48.25,11.36,24.24,464,10.91,100,24.5356882927706,2.3823200610129,2.40423874672055,10.2769114464328,3.2047769004887,9.60417814384337,3.39081028877567,3.18800416120111,6.13988455222626,2.38967979984498,4.60616968632117,3.61872519419073,3.34090501011285,171694.201112,40424.237568
"250",1758,1766,26540,15.86,28.02,7.63,3.17,61.87,7.24,3.77,156,95,13.53,26.95,12.08,11.63,10.6,31.54,5270.5,3.41,70.85,18.45,76.37,0.54,8.13,307,5.87,100,42.0238027789014,2.03208784529637,1.97962120639763,10.1864083078862,1.32707500145992,8.56988051369524,2.91506437048654,2.09556092355972,5.7268477475872,1.76985463384001,4.60616968632117,1.22671229129543,1.5051673636461,236831.981203,21999.073608
"251",2073,1,9805,42.36,43.44,31.23,3.41,22.97,18.28,1.35,14,174,15.91,27.84,14.66,12.62,20.08,50.57,6524.3,20.94,55.92,92.8,6.39,0.27,0.68,235,12.03,100,1,3.44137917129499,2.905807566026,9.19064773863045,0.300104592450338,8.78328894674253,4.53044663979215,-0.385662480811985,5.45958551414416,2.48740352998659,4.60616968632117,3.04166120544239,2.75629412314123,12119.452073,81972.739584
